GE,ME,MI
ENSG00000147381,ENSG00000136267,ENSG00000138207
ENSG00000147573,ENSG00000136295,ENSG00000138326
ENSG00000147588,ENSG00000136444,ENSG00000138381
ENSG00000147724,ENSG00000136449,ENSG00000138459
ENSG00000148488,ENSG00000136560,ENSG00000138472
ENSG00000148702,ENSG00000136827,ENSG00000138495
ENSG00000148795,ENSG00000136859,ENSG00000138613
ENSG00000148942,ENSG00000137090,ENSG00000139144
ENSG00000149243,ENSG00000137098,ENSG00000139182
ENSG00000149295,ENSG00000137166,ENSG00000139344
ENSG00000149451,ENSG00000137177,ENSG00000139537
ENSG00000149571,ENSG00000137198,ENSG00000139641
ENSG00000149575,ENSG00000137203,ENSG00000139874
ENSG00000149927,ENSG00000137221,ENSG00000139890
ENSG00000149970,ENSG00000137267,ENSG00000140006
ENSG00000150201,ENSG00000137273,ENSG00000140365
ENSG00000150625,ENSG00000137285,ENSG00000140386
ENSG00000150627,ENSG00000137522,ENSG00000140395
ENSG00000150656,ENSG00000137573,ENSG00000140481
ENSG00000150672,ENSG00000137764,ENSG00000140526
ENSG00000150750,ENSG00000137822,ENSG00000140650
ENSG00000150893,ENSG00000137834,ENSG00000140807
ENSG00000151025,ENSG00000137857,ENSG00000140830
ENSG00000151655,ENSG00000137948,ENSG00000141446
ENSG00000151778,ENSG00000138080,ENSG00000141506
ENSG00000151789,ENSG00000138083,ENSG00000141552
ENSG00000151892,ENSG00000138246,ENSG00000141556
ENSG00000152092,ENSG00000138286,ENSG00000141682
ENSG00000152093,ENSG00000138604,ENSG00000141867
ENSG00000152192,ENSG00000138623,ENSG00000141946
ENSG00000152430,ENSG00000138686,ENSG00000142235
ENSG00000152580,ENSG00000139269,ENSG00000142459
ENSG00000152672,ENSG00000139292,ENSG00000142515
ENSG00000152785,ENSG00000139343,ENSG00000142627
ENSG00000152910,ENSG00000139537,ENSG00000142632
ENSG00000152931,ENSG00000139567,ENSG00000142634
ENSG00000152932,ENSG00000139890,ENSG00000142655
ENSG00000152954,ENSG00000140043,ENSG00000142669
ENSG00000153002,ENSG00000140287,ENSG00000143125
ENSG00000153132,ENSG00000140297,ENSG00000143147
ENSG00000153303,ENSG00000140350,ENSG00000143318
ENSG00000153446,ENSG00000140459,ENSG00000143368
ENSG00000153820,ENSG00000140463,ENSG00000143450
ENSG00000153993,ENSG00000140678,ENSG00000143499
ENSG00000154080,ENSG00000140743,ENSG00000143768
ENSG00000154165,ENSG00000140749,ENSG00000143793
ENSG00000154258,ENSG00000140943,ENSG00000143954
ENSG00000154269,ENSG00000141027,ENSG00000143971
ENSG00000154330,ENSG00000141293,ENSG00000144035
ENSG00000154478,ENSG00000141376,ENSG00000144045
ENSG00000154645,ENSG00000141401,ENSG00000144161
ENSG00000154678,ENSG00000141433,ENSG00000144468
ENSG00000154764,ENSG00000141497,ENSG00000144736
ENSG00000155495,ENSG00000141542,ENSG00000144792
ENSG00000155511,ENSG00000141568,ENSG00000145198
ENSG00000155622,ENSG00000141977,ENSG00000145216
